Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL1163554,Cc1ccc(S(=O)(=O)N2C(=O)C=CC2O)cc1,IC50,6030,nM
CHEMBL1087373,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IC50,,
CHEMBL4447079,O=S(=O)(Oc1ccc(-c2ccc3occc3c2)cc1)c1ccc(F)cc1,IC50,140,nM
CHEMBL312813,NS(=O)(=O)c1nc2ccc(OC(=O)C3CCCCC3)cc2s1,IC50,6,nM
CHEMBL1276016,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(/N=N/c3ccc(O)cc3)c2)c1-c1ccccc1,IC50,470,nM
CHEMBL42278,CCCCCC/C(=N\N)c1csc(S(N)(=O)=O)c1,IC50,2,nM
CHEMBL302780,CCCCCCCCS(=O)(=O)C(F)S(N)(=O)=O,IC50,3,nM
CHEMBL101371,NS(=O)(=O)c1cc2cc(CNCc3ccccn3)sc2o1,IC50,8.2,nM
CHEMBL1384,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,IC50,,
CHEMBL542372,COCCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,IC50,4.9,nM
CHEMBL105080,NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1,IC50,5.6,nM
CHEMBL1201631,,IC50,,
CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,IC50,,
CHEMBL554425,COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl,IC50,4.2,nM
CHEMBL590825,NCc1ccccn1.NS(=O)(=O)c1cc(C(=O)O)c(Cl)cc1Cl,IC50,300,nM
CHEMBL590825,NCc1ccccn1.NS(=O)(=O)c1cc(C(=O)O)c(Cl)cc1Cl,IC50,290,nM
CHEMBL42425,CCCCCC/C(=N\O)c1csc(S(N)(=O)=O)c1,IC50,5.8,nM
CHEMBL44238,CCCCNC(C)c1csc(S(N)(=O)=O)c1,IC50,590,nM
CHEMBL85470,CC(=O)OCc1ccc2sc(S(N)(=O)=O)cc2c1,IC50,10,nM
CHEMBL319397,NS(=O)(=O)c1ccc(S(=O)(=O)CCCCO)c(F)c1,IC50,4,nM
CHEMBL105607,NS(=O)(=O)c1ccc(SCCCO)c(Cl)c1,IC50,9,nM
CHEMBL6705,Nc1ccccc1S(N)(=O)=O,IC50,2640,nM
CHEMBL120728,CN(C)S(=O)(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,IC50,1.2,nM
CHEMBL408967,COc1cc2c(cc1OS(N)(=O)=O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](CC#N)CC[C@@H]12,IC50,1500,nM
CHEMBL374721,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(=O)=O)CC[C@@H]12,IC50,526,nM
CHEMBL315921,COc1cccc2sc(S(N)(=O)=O)cc12,IC50,12,nM
CHEMBL83820,NS(=O)(=O)c1cc2c(s1)[S+]([O-])CC(=O)N2,IC50,31.6,nM
CHEMBL3786873,CN(C)S(=O)(=O)NC1CCc2c(O)cccc2C1,IC50,15.35,nM
CHEMBL1086703,CCNC(=O)c1cc(S(N)(=O)=O)cnc1Sc1ccccc1,IC50,20,nM
CHEMBL1099152,COc1ccc(CCCNC(=O)c2cc(S(N)(=O)=O)cnc2Sc2c(F)c(F)cc(F)c2F)cc1,IC50,11.5,nM
CHEMBL1095882,COCCCNCc1cc(S(N)(=O)=O)cnc1Sc1ccc(F)c(F)c1,IC50,386,nM
CHEMBL4864797,NS(=O)(=O)c1ccc(C(=O)N[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1,IC50,0,nM
CHEMBL79340,CN(C)Cc1ccc(C(=O)Oc2ccc3nc(S(N)(=O)=O)sc3c2)cc1,IC50,4,nM
CHEMBL79608,CC(C)(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1N,IC50,25,nM
CHEMBL1480,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,IC50,,
CHEMBL417975,CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21,IC50,1.2,nM
CHEMBL47,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,IC50,,
